candidate_index	source_name	task_index	context	family	order_index	design_nll	chain_a_nll	chain_b_nll	chain_c_nll	chain_d_nll	chain_spread
10	OVA-C4-IPTM90-432	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.1393665075302124	1.108920693397522	1.1590588092803955	1.1212626695632935	1.1682242155075073	0.05930352210998535
10	OVA-C4-IPTM90-432	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.117199182510376	1.1950414180755615	1.061342716217041	1.003707766532898	1.208704948425293	0.20499718189239502
10	OVA-C4-IPTM90-432	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1526596546173096	1.1657289266586304	1.0899605751037598	1.1942764520645142	1.160672664642334	0.1043158769607544
10	OVA-C4-IPTM90-432	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.1420936584472656	1.0643762350082397	1.2686748504638672	1.1211411952972412	1.114182472229004	0.20429861545562744
11	OVA-C4-IPTM90-272	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.1240395307540894	1.1226863861083984	1.1508886814117432	1.1034246683120728	1.1191582679748535	0.04746401309967041
11	OVA-C4-IPTM90-272	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.112138032913208	1.1826876401901245	1.0313977003097534	1.021368145942688	1.2130991220474243	0.19173097610473633
11	OVA-C4-IPTM90-272	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1074802875518799	1.1042169332504272	1.0303401947021484	1.20917809009552	1.0861862897872925	0.17883789539337158
11	OVA-C4-IPTM90-272	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.1308810710906982	1.05500328540802	1.2379004955291748	1.1652421951293945	1.065378189086914	0.18289721012115479
12	OVA-C4-IPTM90-216	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.1024714708328247	1.1139918565750122	1.0763263702392578	1.088701844215393	1.1308660507202148	0.05453968048095703
12	OVA-C4-IPTM90-216	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.084858775138855	1.1381549835205078	1.0123318433761597	0.9981328845024109	1.190815806388855	0.1926829218864441
12	OVA-C4-IPTM90-216	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1090943813323975	1.1558327674865723	0.9937534928321838	1.1540846824645996	1.1327069997787476	0.16207927465438843
12	OVA-C4-IPTM90-216	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.0981662273406982	1.0271790027618408	1.1624037027359009	1.1360615491867065	1.0670207738876343	0.13522469997406006
13	OVA-C4-IPTM90-467	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.1405547857284546	1.0978807210922241	1.1863175630569458	1.1348141431808472	1.1432065963745117	0.08843684196472168
13	OVA-C4-IPTM90-467	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.1162750720977783	1.2054866552352905	1.0652647018432617	1.0013129711151123	1.1930363178253174	0.20417368412017822
13	OVA-C4-IPTM90-467	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1383774280548096	1.1400201320648193	1.0695058107376099	1.2222065925598145	1.1217774152755737	0.1527007818222046
