source	chain_pair	category	unique_residue_pair_types	atom_level_events
OVA-C4-IPTM80-20A__Protenix	A-C	SaltBridge	0	0
OVA-C4-IPTM80-20A__Protenix	A-C	PiStacking	1	1
OVA-C4-IPTM80-20A__Protenix	A-C	CationPi	0	0
OVA-C4-IPTM80-20A__Protenix	A-C	VdWContact	5	28
OVA-C4-IPTM80-20A__Protenix	A-D	Hydrophobic	13	25
OVA-C4-IPTM80-20A__Protenix	A-D	HydrogenBond	2	2
OVA-C4-IPTM80-20A__Protenix	A-D	SaltBridge	2	3
OVA-C4-IPTM80-20A__Protenix	A-D	PiStacking	0	0
OVA-C4-IPTM80-20A__Protenix	A-D	CationPi	0	0
OVA-C4-IPTM80-20A__Protenix	A-D	VdWContact	27	151
OVA-C4-IPTM80-20A__Protenix	B-C	Hydrophobic	12	20
OVA-C4-IPTM80-20A__Protenix	B-C	HydrogenBond	3	3
OVA-C4-IPTM80-20A__Protenix	B-C	SaltBridge	2	2
OVA-C4-IPTM80-20A__Protenix	B-C	PiStacking	0	0
OVA-C4-IPTM80-20A__Protenix	B-C	CationPi	0	0
OVA-C4-IPTM80-20A__Protenix	B-C	VdWContact	22	132
OVA-C4-IPTM80-20A__Protenix	B-D	Hydrophobic	2	33
OVA-C4-IPTM80-20A__Protenix	B-D	HydrogenBond	0	0
OVA-C4-IPTM80-20A__Protenix	B-D	SaltBridge	0	0
OVA-C4-IPTM80-20A__Protenix	B-D	PiStacking	1	1
OVA-C4-IPTM80-20A__Protenix	B-D	CationPi	0	0
OVA-C4-IPTM80-20A__Protenix	B-D	VdWContact	5	24
OVA-C4-IPTM80-20A__Protenix	C-D	Hydrophobic	8	22
OVA-C4-IPTM80-20A__Protenix	C-D	HydrogenBond	2	2
OVA-C4-IPTM80-20A__Protenix	C-D	SaltBridge	0	0
OVA-C4-IPTM80-20A__Protenix	C-D	PiStacking	1	1
OVA-C4-IPTM80-20A__Protenix	C-D	CationPi	0	0
OVA-C4-IPTM80-20A__Protenix	C-D	VdWContact	8	57
OVA-C4-IPTM80-21B__AF3	A-B	Hydrophobic	8	10
OVA-C4-IPTM80-21B__AF3	A-B	HydrogenBond	2	2
OVA-C4-IPTM80-21B__AF3	A-B	SaltBridge	0	0
OVA-C4-IPTM80-21B__AF3	A-B	PiStacking	0	0
OVA-C4-IPTM80-21B__AF3	A-B	CationPi	0	0
OVA-C4-IPTM80-21B__AF3	A-B	VdWContact	10	12
OVA-C4-IPTM80-21B__AF3	A-C	Hydrophobic	9	13
OVA-C4-IPTM80-21B__AF3	A-C	HydrogenBond	9	9
OVA-C4-IPTM80-21B__AF3	A-C	SaltBridge	2	4
OVA-C4-IPTM80-21B__AF3	A-C	PiStacking	0	0
OVA-C4-IPTM80-21B__AF3	A-C	CationPi	0	0
OVA-C4-IPTM80-21B__AF3	A-C	VdWContact	28	78
OVA-C4-IPTM80-21B__AF3	A-D	Hydrophobic	4	26
OVA-C4-IPTM80-21B__AF3	A-D	HydrogenBond	0	0
OVA-C4-IPTM80-21B__AF3	A-D	SaltBridge	0	0
OVA-C4-IPTM80-21B__AF3	A-D	PiStacking	0	0
OVA-C4-IPTM80-21B__AF3	A-D	CationPi	0	0
OVA-C4-IPTM80-21B__AF3	A-D	VdWContact	18	42
OVA-C4-IPTM80-21B__AF3	B-C	Hydrophobic	4	26
OVA-C4-IPTM80-21B__AF3	B-C	HydrogenBond	0	0
OVA-C4-IPTM80-21B__AF3	B-C	SaltBridge	0	0
OVA-C4-IPTM80-21B__AF3	B-C	PiStacking	0	0
OVA-C4-IPTM80-21B__AF3	B-C	CationPi	0	0
OVA-C4-IPTM80-21B__AF3	B-C	VdWContact	18	42
OVA-C4-IPTM80-21B__AF3	B-D	Hydrophobic	10	14
